1: Mean: 1.34125 | STD: 0.021696
2: Mean: 1.19655 | STD: 0.017298
3: Mean: 1.07763 | STD: 0.017270
4: Mean: 0.98257 | STD: 0.017223
5: Mean: 0.90683 | STD: 0.017089
6: Mean: 0.80647 | STD: 0.017331
7: Mean: 0.74848 | STD: 0.017678
8: Mean: 0.70896 | STD: 0.017449
9: Mean: 0.67068 | STD: 0.017413
10: Mean: 0.63159 | STD: 0.017586
11: Mean: 0.61193 | STD: 0.016808
12: Mean: 0.57476 | STD: 0.016977
13: Mean: 0.53517 | STD: 0.016822
14: Mean: 0.49526 | STD: 0.017294
15: Mean: 0.47323 | STD: 0.017259
16: Mean: 0.45359 | STD: 0.017349
17: Mean: 0.43399 | STD: 0.017491
18: Mean: 0.39557 | STD: 0.017587
19: Mean: 0.37537 | STD: 0.017498
20: Mean: 0.35639 | STD: 0.017496
